Address,Total Amount Held,Percentage Held
inj1m35kyjuegq7ruwgx787xm53e5wfwu6n5uadurl,175318647.76,17.53%
inj1d4vnv3490ypz8kkdu4zyhcj9srfm6vmcl5nxfu,96373553.80,9.64%
inj1rnlhp35xqtl0zwlp9tnrelykea9f52nd8av7ec,70003174.99,7.00%
inj149lhgsswvdalavfc3452dzm6hkax38urzw9g74,47892363.74,4.79%
inj1pr5lyuez8ak94tpuz9fs7dkpst7pkc9uuhfhvm,46291974.00,4.63%
inj1shgjpxefet80a6sekl6gwqr3meq2azapzsytyd,39095905.66,3.91%
inj14m70tyzzk0tklkhh4sqsrjqq5kzczqdznlxs60,30393639.58,3.04%
inj1sx7ffjvn7q5zk93rp9kdd325ttf50c797sjawy,25731137.13,2.57%
inj1ckyt3atu09syn05qkp3umwtjzjuw3xpewchny8,21413657.56,2.14%
inj1wpslh8exestl0ce2v6z8zz7rlxtmurnmqxakcw,20000000.00,2.00%
inj1hjkjc8drplj2tqnqjy7an47hv6nspk8p472jej,19629087.47,1.96%
inj1k5vhdsndss97zztggsxl43rd88fpukgn4pj9y6,17107330.18,1.71%
inj1zp3hfgrerucaahsqlukxr5vqq9n2dmlahksmdr,13550352.50,1.36%
inj1qk2rh2nkrynyd7jk68v3p64qzxrh5lrscqr2kc,13012717.56,1.30%
inj18skkzztnku04f9cmscg2hwsj6xrau73lvjtklk,12163118.68,1.22%
inj14rq3fteduvdtyd4s6xk6mge4yn0hvjwq2gj3ke,11463852.11,1.15%
inj12cktlyzpe726slnyls4p9u6k0q7fz8zj9ql3cv,10703318.74,1.07%
inj1rq992tt96rzctjh25963fghz740hda3nuetlwe,10615187.74,1.06%
inj15yjdnxf8yszxzylrwez5gqqgeal49hxelvsgh8,10242599.46,1.02%
inj196k6upku56qatqq9ul85708yw5lplwtzhdxh0d,10203029.64,1.02%
inj10ng4t9dv3ha7y58xpgvqq9tpchdee3gsep5p63,10000000.00,1.00%
inj1aa96mdps7vmqxsz0deft9f7gsumlgx35dtrqp3,10001701.73,1.00%
inj1d74ll8e325jj5es00r0fx02wp7yfwrdjv79av6,10040292.44,1.00%
inj1ktpkapxvg0d3rp7tae8l7v35esukvf5j4w70dh,10002195.64,1.00%
inj1lq9wn94d49tt7gc834cxkm0j5kwlwu4gm65lhe,10000000.66,1.00%
inj1lsda3daks4mtuqkkamhkkf0ghxga05jw44ywvr,9529166.54,0.95%
inj13eh4nffk549ygesmqe82s9emjkqknttysclwa8,9309061.00,0.93%
inj15g3lfs92sm9a30hq4872ygx75ltsg7spmw40xj,9309061.00,0.93%
